negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'Q9P2N7', 'Q96GD4', 'AndrogenReceptor'})"
"frozenset({'P04629', 'AndrogenReceptor', 'P62241'})"
"frozenset({'O15040', 'AndrogenReceptor', 'Q9BXW4'})"
"frozenset({'Q13126', 'Q96NL6', 'AndrogenReceptor'})"
"frozenset({'Q9NQ66', 'AndrogenReceptor', 'P16234'})"
"frozenset({'P51532', 'AndrogenReceptor', 'P60709'})"
"frozenset({'Q13283', 'AndrogenReceptor', 'P67936'})"
"frozenset({'Q96NL0', 'AndrogenReceptor', 'O14576'})"
"frozenset({'Q99459', 'AndrogenReceptor', 'Q9BV38'})"
"frozenset({'Q13164', 'Q16236', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00442', 'P61254'})"
"frozenset({'AndrogenReceptor', 'Q7Z2T5', 'Q99986'})"
"frozenset({'P54274', 'P40925', 'AndrogenReceptor'})"
"frozenset({'Q8IZP0', 'P00519', 'AndrogenReceptor'})"
"frozenset({'P25787', 'Q99459', 'AndrogenReceptor'})"
"frozenset({'P61088', 'AndrogenReceptor', 'Q96FW1'})"
"frozenset({'Q9NVI1', 'AndrogenReceptor', 'P50402'})"
"frozenset({'Q6P2I3', 'AndrogenReceptor', 'Q96GK7'})"
"frozenset({'O14602', 'P78362', 'AndrogenReceptor'})"
"frozenset({'Q9BW83', 'AndrogenReceptor', 'Q9BRK5'})"
"frozenset({'P78318', 'AndrogenReceptor', 'P09382'})"
"frozenset({'Q9Y697', 'AndrogenReceptor', 'A1L188'})"
"frozenset({'P20783', 'P07333', 'AndrogenReceptor'})"
"frozenset({'P09544', 'Q92765', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P39748', 'O94822'})"
"frozenset({'Q8IWT6', 'Q6P9F7', 'AndrogenReceptor'})"
"frozenset({'Q5JSH3', 'A8MVW5', 'AndrogenReceptor'})"
"frozenset({'P62081', 'P62277', 'AndrogenReceptor'})"
"frozenset({'Q9BRK4', 'AndrogenReceptor', 'Q86VW0'})"
"frozenset({'AndrogenReceptor', 'P68400', 'Q96QR8'})"
"frozenset({'AndrogenReceptor', 'Q8TB72', 'Q13573'})"
"frozenset({'O60331', 'AndrogenReceptor', 'Q99755'})"
"frozenset({'P68133', 'AndrogenReceptor', 'Q9BV36'})"
"frozenset({'Q9Y275', 'AndrogenReceptor', 'P04440'})"
"frozenset({'P78362', 'Q8N8H1', 'AndrogenReceptor'})"
"frozenset({'P53041', 'AndrogenReceptor', 'P63244'})"
"frozenset({'E9PAV3', 'AndrogenReceptor', 'Q96ID5'})"
"frozenset({'O14498', 'AndrogenReceptor', 'Q9UJJ9'})"
"frozenset({'AndrogenReceptor', 'P05067', 'Q99755'})"
"frozenset({'P50150', 'Q96PN6', 'AndrogenReceptor'})"
"frozenset({'Q96LA8', 'AndrogenReceptor', 'P41218'})"
"frozenset({'Q9C0C2', 'O14980', 'AndrogenReceptor'})"
"frozenset({'P51149', 'O14949', 'AndrogenReceptor'})"
"frozenset({'Q96AP7', 'AndrogenReceptor', 'P56750'})"
"frozenset({'Q96GD3', 'P35227', 'AndrogenReceptor'})"
"frozenset({'Q92901', 'AndrogenReceptor', 'P46781'})"
"frozenset({'Q99941', 'AndrogenReceptor', 'Q14012'})"
"frozenset({'P60520', 'Q92945', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q6IQ23', 'Q08830'})"
"frozenset({'P51677', 'AndrogenReceptor', 'Q9H2A7'})"
"frozenset({'Q96G23', 'P00533', 'AndrogenReceptor'})"
"frozenset({'Q13077', 'Q8IUH3', 'AndrogenReceptor'})"
"frozenset({'Q8TF50', 'AndrogenReceptor', 'Q9H7E9'})"
"frozenset({'Q14186', 'AndrogenReceptor', 'Q5TKA1'})"
"frozenset({'O75558', 'AndrogenReceptor', 'Q96SQ5'})"
"frozenset({'Q96PU5', 'P22607', 'AndrogenReceptor'})"
"frozenset({'A6NKK0', 'P38405', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05067', 'Q9BZV1'})"
"frozenset({'Q8TF46', 'Q5RKV6', 'AndrogenReceptor'})"
"frozenset({'Q9NP64', 'Q9ULU4', 'AndrogenReceptor'})"
"frozenset({'Q96RQ3', 'P09914', 'AndrogenReceptor'})"
"frozenset({'O60551', 'P20073', 'AndrogenReceptor'})"
"frozenset({'P54652', 'O95429', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96CW1', 'P68104'})"
"frozenset({'P20226', 'AndrogenReceptor', 'P14859'})"
"frozenset({'Q8N6P7', 'AndrogenReceptor', 'P20809'})"
"frozenset({'AndrogenReceptor', 'Q9UL03', 'P15927'})"
"frozenset({'P39023', 'Q6NUN9', 'AndrogenReceptor'})"
"frozenset({'Q99459', 'Q9UPU5', 'AndrogenReceptor'})"
"frozenset({'P63167', 'AndrogenReceptor', 'Q9NWQ9'})"
"frozenset({'Q13164', 'Q13163', 'AndrogenReceptor'})"
"frozenset({'O00459', 'AndrogenReceptor', 'Q13085'})"
"frozenset({'Q63HR2', 'P32242', 'AndrogenReceptor'})"
"frozenset({'P63096', 'P24530', 'AndrogenReceptor'})"
"frozenset({'Q99459', 'Q9Y230', 'AndrogenReceptor'})"
"frozenset({'P17931', 'AndrogenReceptor', 'P62424'})"
"frozenset({'O00560', 'AndrogenReceptor', 'O43324'})"
"frozenset({'P46934', 'O15399', 'AndrogenReceptor'})"
"frozenset({'Q9H341', 'AndrogenReceptor', 'P22612'})"
"frozenset({'AndrogenReceptor', 'Q9UHR6', 'Q9Y5U2'})"
"frozenset({'P35638', 'Q13618', 'AndrogenReceptor'})"
"frozenset({'P24394', 'AndrogenReceptor', 'P22301'})"
"frozenset({'P22694', 'P52565', 'AndrogenReceptor'})"
"frozenset({'Q9P0U3', 'P49790', 'AndrogenReceptor'})"
"frozenset({'Q96EE3', 'AndrogenReceptor', 'Q53GS7'})"
"frozenset({'P35244', 'AndrogenReceptor', 'P12268'})"
"frozenset({'AndrogenReceptor', 'P04844', 'Q9HC24'})"
"frozenset({'AndrogenReceptor', 'Q9C009', 'Q12769'})"
"frozenset({'P63096', 'Q99500', 'AndrogenReceptor'})"
"frozenset({'Q92963', 'Q53G59', 'AndrogenReceptor'})"
"frozenset({'P12931', 'AndrogenReceptor', 'Q02156'})"
"frozenset({'O43913', 'AndrogenReceptor', 'Q9Y5N6'})"
"frozenset({'O14562', 'AndrogenReceptor', 'P17980'})"
"frozenset({'Q3MIN7', 'AndrogenReceptor', 'P01111'})"
"frozenset({'P0DP25', 'AndrogenReceptor', 'Q13233'})"
"frozenset({'P60520', 'Q9BUJ2', 'AndrogenReceptor'})"
"frozenset({'O00303', 'P28223', 'AndrogenReceptor'})"
"frozenset({'Q13616', 'AndrogenReceptor', 'Q92530'})"
"frozenset({'AndrogenReceptor', 'P27694', 'Q13416'})"
"frozenset({'Q9UBX3', 'Q15714', 'AndrogenReceptor'})"
"frozenset({'Q15436', 'P49721', 'AndrogenReceptor'})"
"frozenset({'P51553', 'P35270', 'AndrogenReceptor'})"
"frozenset({'O95292', 'Q5VTQ0', 'AndrogenReceptor'})"
"frozenset({'P17987', 'AndrogenReceptor', 'Q92466'})"
"frozenset({'P50570', 'AndrogenReceptor', 'Q9BUZ4'})"
"frozenset({'P38398', 'Q8N2W9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15628', 'P55209'})"
"frozenset({'P46531', 'AndrogenReceptor', 'Q14469'})"
"frozenset({'P62837', 'AndrogenReceptor', 'Q9UKV5'})"
"frozenset({'P01100', 'AndrogenReceptor', 'P57739'})"
"frozenset({'O43781', 'AndrogenReceptor', 'F7VJQ1'})"
"frozenset({'Q96LM6', 'AndrogenReceptor', 'Q7L273'})"
"frozenset({'P16333', 'AndrogenReceptor', 'Q96KQ7'})"
"frozenset({'AndrogenReceptor', 'Q13501', 'P16070'})"
"frozenset({'P09104', 'P36969', 'AndrogenReceptor'})"
"frozenset({'Q9Y4L1', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'Q9BSF0', 'Q6IPU0', 'AndrogenReceptor'})"
"frozenset({'O00560', 'AndrogenReceptor', 'Q9GZT9'})"
"frozenset({'Q7Z478', 'Q16666', 'AndrogenReceptor'})"
"frozenset({'Q05639', 'AndrogenReceptor', 'P23526'})"
"frozenset({'AndrogenReceptor', 'P22455', 'P05019'})"
"frozenset({'P21675', 'Q9H444', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96S94', 'Q10567'})"
"frozenset({'P30281', 'AndrogenReceptor', 'Q08999'})"
"frozenset({'O00231', 'AndrogenReceptor', 'Q14318'})"
"frozenset({'O14979', 'AndrogenReceptor', 'P26599'})"
"frozenset({'P0C0S8', 'AndrogenReceptor', 'Q7Z2G1'})"
"frozenset({'P51116', 'Q9P270', 'AndrogenReceptor'})"
"frozenset({'P58012', 'AndrogenReceptor', 'Q7LFL8'})"
"frozenset({'P55265', 'AndrogenReceptor', 'Q92900'})"
"frozenset({'AndrogenReceptor', 'P61254', 'O43390'})"
"frozenset({'O43933', 'AndrogenReceptor', 'Q13608'})"
"frozenset({'AndrogenReceptor', 'Q15645', 'P56282'})"
"frozenset({'P15884', 'AndrogenReceptor', 'P42773'})"
"frozenset({'Q9NX76', 'Q92633', 'AndrogenReceptor'})"
"frozenset({'P42858', 'O75554', 'AndrogenReceptor'})"
"frozenset({'P23497', 'AndrogenReceptor', 'P35609'})"
"frozenset({'P31040', 'AndrogenReceptor', 'P05412'})"
"frozenset({'Q16769', 'Q86XX4', 'AndrogenReceptor'})"
"frozenset({'Q8IWL3', 'AndrogenReceptor', 'Q9Y5Y2'})"
"frozenset({'Q86UX6', 'AndrogenReceptor', 'Q96DM3'})"
"frozenset({'Q5S007', 'AndrogenReceptor', 'Q15393'})"
"frozenset({'O95997', 'AndrogenReceptor', 'O60506'})"
"frozenset({'P52788', 'Q96DG6', 'AndrogenReceptor'})"
"frozenset({'P62318', 'AndrogenReceptor', 'P51571'})"
"frozenset({'AndrogenReceptor', 'Q9NVR5', 'Q01484'})"
"frozenset({'P05388', 'Q07020', 'AndrogenReceptor'})"
"frozenset({'P26368', 'AndrogenReceptor', 'P45880'})"
"frozenset({'P35244', 'AndrogenReceptor', 'P40938'})"
"frozenset({'P06746', 'AndrogenReceptor', 'P18887'})"
"frozenset({'O95229', 'AndrogenReceptor', 'Q9UPR3'})"
"frozenset({'AndrogenReceptor', 'Q08830', 'Q8N4Q0'})"
"frozenset({'P47755', 'P12814', 'AndrogenReceptor'})"
"frozenset({'P23760', 'AndrogenReceptor', 'P55036'})"
"frozenset({'AndrogenReceptor', 'P49736', 'P39656'})"
"frozenset({'Q9UBB9', 'AndrogenReceptor', 'A5D8V6'})"
"frozenset({'Q9Y2X8', 'Q8N5U6', 'AndrogenReceptor'})"
"frozenset({'Q99877', 'Q71UI9', 'AndrogenReceptor'})"
"frozenset({'P22681', 'AndrogenReceptor', 'P29353'})"
"frozenset({'O75717', 'AndrogenReceptor', 'Q9H6Z9'})"
"frozenset({'Q9H0W5', 'Q9BQ04', 'AndrogenReceptor'})"
"frozenset({'Q8IYA7', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'O60216', 'AndrogenReceptor', 'P55884'})"
"frozenset({'O14974', 'AndrogenReceptor', 'Q9H7H0'})"
"frozenset({'Q92522', 'Q13616', 'AndrogenReceptor'})"
"frozenset({'P35226', 'AndrogenReceptor', 'Q86UP2'})"
"frozenset({'AndrogenReceptor', 'O14965', 'Q13185'})"
"frozenset({'Q92556', 'AndrogenReceptor', 'P08631'})"
"frozenset({'Q96HR3', 'AndrogenReceptor', 'Q9Y2X0'})"
"frozenset({'Q15654', 'Q8IYX7', 'AndrogenReceptor'})"
"frozenset({'Q8N3J5', 'AndrogenReceptor', 'Q96BP2'})"
"frozenset({'P12004', 'AndrogenReceptor', 'Q9Y4K3'})"
"frozenset({'Q9NX55', 'P0DP23', 'AndrogenReceptor'})"
"frozenset({'Q92581', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'Q16539', 'AndrogenReceptor', 'Q15075'})"
"frozenset({'Q8WXF0', 'Q00534', 'AndrogenReceptor'})"
"frozenset({'O95718', 'AndrogenReceptor', 'Q9NVI7'})"
"frozenset({'AndrogenReceptor', 'P45973', 'Q9Y6X3'})"
"frozenset({'AndrogenReceptor', 'Q9H840', 'O14893'})"
"frozenset({'Q13330', 'AndrogenReceptor', 'P50613'})"
"frozenset({'Q14790', 'AndrogenReceptor', 'Q9UNN5'})"
"frozenset({'Q5JPE7', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'P53355', 'AndrogenReceptor', 'P27361'})"
"frozenset({'Q96QD8', 'O75558', 'AndrogenReceptor'})"
"frozenset({'Q9NYB5', 'Q14160', 'AndrogenReceptor'})"
"frozenset({'A1A4S6', 'AndrogenReceptor', 'P15153'})"
"frozenset({'Q13368', 'Q8NC60', 'AndrogenReceptor'})"
"frozenset({'Q9UGP5', 'AndrogenReceptor', 'P60369'})"
"frozenset({'Q9BQG0', 'AndrogenReceptor', 'Q9UL18'})"
"frozenset({'P78324', 'AndrogenReceptor', 'Q9NPH3'})"
"frozenset({'Q9NRY2', 'Q96AH0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P59047', 'Q9BRA2'})"
"frozenset({'Q9NR30', 'Q9Y230', 'AndrogenReceptor'})"
"frozenset({'Q96HA8', 'AndrogenReceptor', 'Q9NRG1'})"
"frozenset({'AndrogenReceptor', 'P04278', 'Q04941'})"
"frozenset({'O94886', 'AndrogenReceptor', 'O00214'})"
"frozenset({'Q9UNM6', 'P25788', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P50395', 'O15264'})"
"frozenset({'Q02543', 'Q86VP6', 'AndrogenReceptor'})"
"frozenset({'Q9BT67', 'Q9H6L2', 'AndrogenReceptor'})"
"frozenset({'P31260', 'AndrogenReceptor', 'P40424'})"
"frozenset({'P78410', 'AndrogenReceptor', 'O00478'})"
"frozenset({'Q96L34', 'AndrogenReceptor', 'P10636'})"
"frozenset({'Q8N5M9', 'AndrogenReceptor', 'Q9BXN2'})"
"frozenset({'O95373', 'AndrogenReceptor', 'P63104'})"
"frozenset({'AndrogenReceptor', 'Q92769', 'O14519'})"
"frozenset({'AndrogenReceptor', 'Q04206', 'O00762'})"
"frozenset({'P12755', 'AndrogenReceptor', 'Q15797'})"
"frozenset({'Q9NZN4', 'O94973', 'AndrogenReceptor'})"
"frozenset({'P67870', 'AndrogenReceptor', 'O60936'})"
"frozenset({'Q13247', 'Q9Y383', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P59998', 'Q96AE4'})"
"frozenset({'Q15404', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'Q8NC51', 'Q9NR22', 'AndrogenReceptor'})"
"frozenset({'Q9GZR7', 'AndrogenReceptor', 'Q01860'})"
"frozenset({'AndrogenReceptor', 'P62993', 'P35527'})"
"frozenset({'Q93052', 'AndrogenReceptor', 'Q99496'})"
"frozenset({'P63165', 'AndrogenReceptor', 'P18031'})"
"frozenset({'AndrogenReceptor', 'P50148', 'P32238'})"
"frozenset({'P16989', 'AndrogenReceptor', 'Q08211'})"
"frozenset({'P27105', 'AndrogenReceptor', 'P07814'})"
"frozenset({'P48556', 'AndrogenReceptor', 'Q9Y6G9'})"
"frozenset({'P08754', 'AndrogenReceptor', 'Q8IVT5'})"
"frozenset({'Q9NYY3', 'AndrogenReceptor', 'P51114'})"
"frozenset({'O95900', 'P38159', 'AndrogenReceptor'})"
"frozenset({'Q9Y4K3', 'O94826', 'AndrogenReceptor'})"
"frozenset({'P33993', 'Q6DN90', 'AndrogenReceptor'})"
"frozenset({'O77932', 'AndrogenReceptor', 'O94762'})"
"frozenset({'AndrogenReceptor', 'O14733', 'Q86Y07'})"
"frozenset({'P61968', 'AndrogenReceptor', 'Q4VCS5'})"
"frozenset({'Q9NRS4', 'AndrogenReceptor', 'Q8N6L0'})"
"frozenset({'AndrogenReceptor', 'O95967', 'P46379'})"
"frozenset({'O14933', 'AndrogenReceptor', 'P62987'})"
"frozenset({'O14936', 'AndrogenReceptor', 'Q14500'})"
"frozenset({'P36896', 'O60637', 'AndrogenReceptor'})"
"frozenset({'P14373', 'AndrogenReceptor', 'Q13952'})"
"frozenset({'Q9C026', 'AndrogenReceptor', 'P62736'})"
"frozenset({'Q9BQE9', 'Q8NFD5', 'AndrogenReceptor'})"
"frozenset({'P46934', 'AndrogenReceptor', 'O00506'})"
"frozenset({'Q5T6S3', 'AndrogenReceptor', 'P68431'})"
"frozenset({'Q53QW1', 'AndrogenReceptor', 'Q5XKP0'})"
"frozenset({'Q9GZS1', 'AndrogenReceptor', 'Q9UHI6'})"
"frozenset({'Q0PNE2', 'AndrogenReceptor', 'Q8N680'})"
"frozenset({'AndrogenReceptor', 'P18848', 'P35637'})"
"frozenset({'AndrogenReceptor', 'Q969X5', 'Q15363'})"
"frozenset({'Q8TAQ2', 'AndrogenReceptor', 'P34897'})"
"frozenset({'P51608', 'AndrogenReceptor', 'O75400'})"
"frozenset({'Q9BXP5', 'Q15287', 'AndrogenReceptor'})"
"frozenset({'Q9P2K6', 'AndrogenReceptor', 'Q8N6Y0'})"
"frozenset({'P16333', 'Q96NS5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9P289', 'Q9Y375'})"
"frozenset({'Q15637', 'AndrogenReceptor', 'Q6P1M3'})"
"frozenset({'O14905', 'AndrogenReceptor', 'O95813'})"
"frozenset({'Q13617', 'Q9HC36', 'AndrogenReceptor'})"
"frozenset({'O14936', 'AndrogenReceptor', 'O60238'})"
"frozenset({'P02008', 'P22607', 'AndrogenReceptor'})"
"frozenset({'P60660', 'P0DP23', 'AndrogenReceptor'})"
"frozenset({'P68133', 'Q96QU8', 'AndrogenReceptor'})"
"frozenset({'P36578', 'P12755', 'AndrogenReceptor'})"
"frozenset({'Q96GK7', 'AndrogenReceptor', 'Q00796'})"
"frozenset({'Q6ZVZ8', 'AndrogenReceptor', 'P61313'})"
"frozenset({'O43143', 'O75478', 'AndrogenReceptor'})"
"frozenset({'Q9P015', 'P20823', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O43741', 'O75928'})"
"frozenset({'P60520', 'Q9Y3F4', 'AndrogenReceptor'})"
"frozenset({'Q07020', 'P26373', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O15111', 'Q00653'})"
"frozenset({'Q92995', 'AndrogenReceptor', 'Q15843'})"
"frozenset({'P54760', 'AndrogenReceptor', 'P78334'})"
"frozenset({'Q15393', 'AndrogenReceptor', 'P19320'})"
"frozenset({'P00540', 'Q96GS4', 'AndrogenReceptor'})"
"frozenset({'P10451', 'P02647', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96G25', 'Q9H204'})"
"frozenset({'Q8IWI9', 'AndrogenReceptor', 'P68431'})"
"frozenset({'P31946', 'Q5VZ89', 'AndrogenReceptor'})"
"frozenset({'Q96NN9', 'AndrogenReceptor', 'P14324'})"
"frozenset({'Q16186', 'AndrogenReceptor', 'P54578'})"
"frozenset({'AndrogenReceptor', 'Q08379', 'Q8N6V9'})"
"frozenset({'P13498', 'AndrogenReceptor', 'Q16539'})"
"frozenset({'Q9UJ68', 'AndrogenReceptor', 'P61604'})"
"frozenset({'Q15910', 'AndrogenReceptor', 'O75533'})"
"frozenset({'O00400', 'AndrogenReceptor', 'P07737'})"
"frozenset({'AndrogenReceptor', 'P18621', 'P18124'})"
"frozenset({'P31947', 'AndrogenReceptor', 'Q13049'})"
"frozenset({'Q92805', 'AndrogenReceptor', 'Q01968'})"
"frozenset({'Q8WW12', 'AndrogenReceptor', 'P18031'})"
"frozenset({'P43004', 'AndrogenReceptor', 'P18621'})"
"frozenset({'O75970', 'Q14807', 'AndrogenReceptor'})"
"frozenset({'Q13616', 'Q96CD0', 'AndrogenReceptor'})"
"frozenset({'O14983', 'Q92858', 'AndrogenReceptor'})"
"frozenset({'P23470', 'P35590', 'AndrogenReceptor'})"
"frozenset({'P41229', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'Q96E35', 'AndrogenReceptor', 'Q8N9I9'})"
"frozenset({'P25116', 'Q9HAV0', 'AndrogenReceptor'})"
"frozenset({'P33992', 'P38646', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P34897', 'P34932'})"
"frozenset({'Q02763', 'P01127', 'AndrogenReceptor'})"
"frozenset({'P08865', 'AndrogenReceptor', 'P40227'})"
"frozenset({'Q9UJX2', 'AndrogenReceptor', 'P04183'})"
"frozenset({'P11474', 'AndrogenReceptor', 'P62195'})"
"frozenset({'AndrogenReceptor', 'Q96K19', 'Q15165'})"
"frozenset({'P53004', 'Q02750', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95819', 'Q02156'})"
"frozenset({'Q8IXW5', 'AndrogenReceptor', 'Q9NRZ9'})"
"frozenset({'Q9H2C0', 'AndrogenReceptor', 'Q99426'})"
"frozenset({'P11142', 'Q9UKG9', 'AndrogenReceptor'})"
"frozenset({'Q02447', 'AndrogenReceptor', 'P36873'})"
"frozenset({'O43143', 'P61981', 'AndrogenReceptor'})"
"frozenset({'P36897', 'P17252', 'AndrogenReceptor'})"
"frozenset({'P06400', 'AndrogenReceptor', 'P06493'})"
"frozenset({'P18583', 'AndrogenReceptor', 'Q01081'})"
"frozenset({'P04049', 'AndrogenReceptor', 'P06239'})"
"frozenset({'Q9HB71', 'P06703', 'AndrogenReceptor'})"
"frozenset({'P62873', 'Q9NR12', 'AndrogenReceptor'})"
"frozenset({'P60033', 'AndrogenReceptor', 'P15153'})"
"frozenset({'Q14790', 'AndrogenReceptor', 'Q8NB16'})"
"frozenset({'Q8N163', 'AndrogenReceptor', 'P02751'})"
"frozenset({'Q6ZU15', 'Q15019', 'AndrogenReceptor'})"
"frozenset({'P15976', 'Q9UJW3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P32856', 'Q9UBU9'})"
"frozenset({'AndrogenReceptor', 'P62136', 'Q9NP77'})"
"frozenset({'AndrogenReceptor', 'Q8IYI6', 'Q14142'})"
"frozenset({'P42345', 'AndrogenReceptor', 'O60506'})"
"frozenset({'O75530', 'AndrogenReceptor', 'P51610'})"
"frozenset({'AndrogenReceptor', 'O94832', 'Q9Y279'})"
"frozenset({'Q8NC51', 'AndrogenReceptor', 'Q9UQ80'})"
"frozenset({'P04083', 'AndrogenReceptor', 'P62937'})"
"frozenset({'Q9H871', 'P13727', 'AndrogenReceptor'})"
"frozenset({'O00591', 'P46459', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q5RL73', 'Q9C0J8'})"
"frozenset({'P19634', 'P43115', 'AndrogenReceptor'})"
"frozenset({'P51965', 'AndrogenReceptor', 'Q9Y3C5'})"
"frozenset({'Q6P2Q9', 'AndrogenReceptor', 'O95391'})"
"frozenset({'Q8NHQ1', 'AndrogenReceptor', 'Q86WZ6'})"
"frozenset({'Q96MF2', 'AndrogenReceptor', 'P62851'})"
"frozenset({'P09544', 'Q9ULW2', 'AndrogenReceptor'})"
"frozenset({'Q96GM5', 'AndrogenReceptor', 'Q6STE5'})"
"frozenset({'AndrogenReceptor', 'Q15811', 'Q9NS91'})"
"frozenset({'AndrogenReceptor', 'P01562', 'P32927'})"
"frozenset({'P48730', 'AndrogenReceptor', 'P04637'})"
"frozenset({'Q8IWU2', 'AndrogenReceptor', 'P62136'})"
"frozenset({'P07996', 'P01127', 'AndrogenReceptor'})"
"frozenset({'O94888', 'Q6UXS0', 'AndrogenReceptor'})"
"frozenset({'P63167', 'AndrogenReceptor', 'Q14202'})"
"frozenset({'Q9Y2D1', 'Q9UBS5', 'AndrogenReceptor'})"
"frozenset({'P62306', 'AndrogenReceptor', 'Q99426'})"
"frozenset({'Q8IY81', 'Q96GQ7', 'AndrogenReceptor'})"
"frozenset({'P55040', 'AndrogenReceptor', 'P01023'})"
"frozenset({'Q9BVG8', 'P48668', 'AndrogenReceptor'})"
"frozenset({'Q13201', 'AndrogenReceptor', 'Q5T749'})"
"frozenset({'AndrogenReceptor', 'Q8ND71', 'P35637'})"
"frozenset({'Q6DD88', 'AndrogenReceptor', 'P05556'})"
"frozenset({'Q9NRG4', 'Q99996', 'AndrogenReceptor'})"
"frozenset({'Q9UHR5', 'AndrogenReceptor', 'Q7L2J0'})"
"frozenset({'P05455', 'AndrogenReceptor', 'Q9HCE7'})"
"frozenset({'O14641', 'P42768', 'AndrogenReceptor'})"
"frozenset({'Q8IU81', 'AndrogenReceptor', 'P14316'})"
"frozenset({'O15260', 'Q8NBW4', 'AndrogenReceptor'})"
"frozenset({'P49411', 'AndrogenReceptor', 'P34947'})"
"frozenset({'AndrogenReceptor', 'P05154', 'P20151'})"
"frozenset({'Q96B26', 'AndrogenReceptor', 'Q96GV9'})"
"frozenset({'P49916', 'Q9H0H5', 'AndrogenReceptor'})"
"frozenset({'O43318', 'Q14C86', 'AndrogenReceptor'})"
"frozenset({'Q9UHA2', 'P04049', 'AndrogenReceptor'})"
"frozenset({'P04141', 'P17947', 'AndrogenReceptor'})"
"frozenset({'P0DP23', 'AndrogenReceptor', 'Q15040'})"
"frozenset({'P60520', 'Q8IZQ1', 'AndrogenReceptor'})"
"frozenset({'Q9Y5V3', 'AndrogenReceptor', 'Q86U06'})"
"frozenset({'Q13326', 'AndrogenReceptor', 'Q92629'})"
"frozenset({'Q93034', 'AndrogenReceptor', 'P14618'})"
"frozenset({'P60763', 'AndrogenReceptor', 'P11234'})"
"frozenset({'Q9H2F5', 'AndrogenReceptor', 'P60709'})"
"frozenset({'Q52LJ0', 'P60033', 'AndrogenReceptor'})"
"frozenset({'P19971', 'AndrogenReceptor', 'Q96RS6'})"
"frozenset({'O43318', 'Q99759', 'AndrogenReceptor'})"
"frozenset({'P01009', 'Q9NYY3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05412', 'P36873'})"
"frozenset({'Q9NX14', 'AndrogenReceptor', 'O75251'})"
"frozenset({'Q13315', 'AndrogenReceptor', 'Q15435'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q96T52'})"
"frozenset({'Q8TAA9', 'AndrogenReceptor', 'Q16512'})"
"frozenset({'O95718', 'P62979', 'AndrogenReceptor'})"
"frozenset({'O14979', 'AndrogenReceptor', 'P13639'})"
"frozenset({'O75530', 'AndrogenReceptor', 'Q9H6R4'})"
"frozenset({'O95402', 'AndrogenReceptor', 'Q7Z713'})"
"frozenset({'Q5VWQ8', 'AndrogenReceptor', 'P04637'})"
"frozenset({'Q96JN8', 'AndrogenReceptor', 'P15927'})"
"frozenset({'Q9UJA5', 'AndrogenReceptor', 'P21281'})"
"frozenset({'P23258', 'AndrogenReceptor', 'Q9BVT8'})"
"frozenset({'O14787', 'AndrogenReceptor', 'P15531'})"
"frozenset({'Q13114', 'AndrogenReceptor', 'Q13627'})"
"frozenset({'P17544', 'AndrogenReceptor', 'Q8N6L0'})"
"frozenset({'P00533', 'AndrogenReceptor', 'O15258'})"
"frozenset({'P16403', 'AndrogenReceptor', 'Q86U86'})"
"frozenset({'Q9BUN8', 'AndrogenReceptor', 'P62805'})"
"frozenset({'P33076', 'P01903', 'AndrogenReceptor'})"
"frozenset({'P23921', 'AndrogenReceptor', 'Q9BV68'})"
"frozenset({'P61077', 'AndrogenReceptor', 'O75592'})"
"frozenset({'P61106', 'Q9Y2I1', 'AndrogenReceptor'})"
"frozenset({'O43482', 'O14561', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62993', 'P51659'})"
